iter	Logloss
0	0.6871355861
1	0.6802039677
2	0.672758343
3	0.6662035527
4	0.6595752527
5	0.6537263836
6	0.6467162637
7	0.6398485266
8	0.6327065588
9	0.6265926249
10	0.6202516428
11	0.6144840448
12	0.6089234067
13	0.6027610008
14	0.5981013226
15	0.5928178127
16	0.5883003644
17	0.583685369
18	0.578046888
19	0.5730981953
20	0.5681460517
21	0.5635128593
22	0.5587023611
23	0.5542123858
24	0.5495948479
25	0.5445891807
26	0.5405623083
27	0.5361725056
28	0.5328226467
29	0.5291119463
30	0.5244887192
31	0.520509858
32	0.5169144326
33	0.5132514981
34	0.509775921
35	0.5058250691
36	0.5017228343
37	0.4986156287
38	0.495118495
39	0.491694855
40	0.488961563
41	0.4858585581
42	0.4822902033
43	0.4790510515
44	0.4761263666
45	0.4734967496
46	0.4706202969
47	0.4678172597
48	0.4644080253
49	0.4610820105
50	0.4580265353
51	0.4556084958
52	0.4531892236
53	0.4509810128
54	0.4484991204
55	0.4460998982
56	0.4436831359
57	0.4414171764
58	0.4394080656
59	0.4373128534
60	0.4351322701
61	0.4327815243
62	0.4301446831
63	0.4273910136
64	0.4248072792
65	0.4226086715
66	0.4206289889
67	0.417722653
68	0.4157165865
69	0.4135697381
70	0.4117114097
71	0.4092673918
72	0.4072401546
73	0.4056766857
74	0.40363388
75	0.4021813722
76	0.4002986888
77	0.3983249306
78	0.3958529855
79	0.3944695696
80	0.3929793768
81	0.3914116854
82	0.3901545254
83	0.3888040295
84	0.3870740189
85	0.3854055992
86	0.3841088771
87	0.3822230434
88	0.3807708665
89	0.3790143603
90	0.3779731227
91	0.3767484855
92	0.3755263918
93	0.3740334468
94	0.3726074513
95	0.3711422699
96	0.3695654674
97	0.3681888542
98	0.3666950528
99	0.3656609855
100	0.3642812284
101	0.3628355988
102	0.3617572325
103	0.3603416265
104	0.358686549
105	0.3572860939
106	0.355524404
107	0.354732878
108	0.353413319
109	0.3520411711
110	0.3509960849
111	0.3499314725
112	0.3486821694
113	0.3476876573
114	0.3467968465
115	0.345660214
116	0.3443837047
117	0.3433276825
118	0.3421555772
119	0.3410644872
120	0.3398982602
121	0.3387458572
122	0.3379085107
123	0.3370606537
124	0.3361552403
125	0.3354833003
126	0.3341981611
127	0.3335046586
128	0.3322490553
129	0.3312372755
130	0.3304796423
131	0.3296507169
132	0.3285725734
133	0.3279142747
134	0.327128636
135	0.3263168884
136	0.3257503877
137	0.3249270587
138	0.323974265
139	0.3233394303
140	0.3227263955
141	0.3217813449
142	0.3209809121
143	0.3202217353
144	0.3194405559
145	0.3187244429
146	0.3181846675
147	0.3173972425
148	0.316363275
149	0.3156270687
150	0.3148467624
151	0.3139987324
152	0.3132548765
153	0.3123232261
154	0.3116411569
155	0.3107259133
156	0.3098165157
157	0.309073364
158	0.3083128388
159	0.3078032543
160	0.3069203938
161	0.3060375285
162	0.3052542067
163	0.3045485829
164	0.3035866368
165	0.3030679124
166	0.3023545247
167	0.3014465526
168	0.3009902205
169	0.3002857654
170	0.2995063801
171	0.298829423
172	0.2980494607
173	0.2973886385
174	0.2965868272
175	0.2960286919
176	0.2952807011
177	0.2946730567
178	0.2940099932
179	0.2933459292
180	0.2928780654
181	0.2922241705
182	0.2916132037
183	0.2911998298
184	0.2905770391
185	0.29014321
186	0.2892660599
187	0.2887506438
188	0.2882105664
189	0.2877876863
190	0.2869812167
191	0.2862677911
192	0.2858366295
193	0.2851304947
194	0.2845303654
195	0.2838597905
196	0.2835164603
197	0.2830766329
198	0.2826201337
199	0.2821207209
200	0.2815095185
201	0.2808227787
202	0.2802397947
203	0.2796529027
204	0.2791572794
205	0.2785231163
206	0.2780400622
207	0.2776399003
208	0.2770284084
209	0.2764508869
210	0.2760838733
211	0.2757383031
212	0.2752521704
213	0.2748290579
214	0.2743182751
215	0.2737393536
216	0.2732939862
217	0.2729049428
218	0.2725541358
219	0.2721114416
220	0.2717121453
221	0.2709666736
222	0.2704651629
223	0.2700154969
224	0.2693766535
225	0.2686463449
226	0.2681200598
227	0.2677260207
228	0.267164107
229	0.2666730871
230	0.2661311818
231	0.2656315877
232	0.2650965989
233	0.2646285698
234	0.2641825113
235	0.2637209531
236	0.2634198671
237	0.2628868669
238	0.2624339959
239	0.2619787998
240	0.2616456216
241	0.2612392981
242	0.260753398
243	0.2602412856
244	0.2599033647
245	0.2595042743
246	0.2589153621
247	0.2584689351
248	0.2580093415
249	0.2574388548
250	0.2570540908
251	0.2565865569
252	0.256057126
253	0.2554490718
254	0.2551418188
255	0.2547702471
256	0.2542054488
257	0.2539108428
258	0.2533996122
259	0.2531513993
260	0.2527705953
261	0.2523074172
262	0.2519348252
263	0.2513280843
264	0.2508868964
265	0.2504924544
266	0.2498352275
267	0.2493861889
268	0.2490438718
269	0.2484866912
270	0.2478958703
271	0.2475893167
272	0.2471017422
273	0.2467809959
274	0.2464531454
275	0.2459770888
276	0.2457099805
277	0.2454777421
278	0.2448915606
279	0.244507039
280	0.2442002711
281	0.243704674
282	0.2433722469
283	0.2430721129
284	0.2424585373
285	0.2420108515
286	0.2416256788
287	0.2412457628
288	0.2408393595
289	0.2403997917
290	0.2400418556
291	0.2396091
292	0.2391125505
293	0.2388846644
294	0.2385074118
295	0.2381520955
296	0.2377425364
297	0.2373824465
298	0.2371234804
299	0.2365316074
300	0.2360314629
301	0.2355639404
302	0.2351960777
303	0.2349102471
304	0.2346757239
305	0.2343523848
306	0.2340076376
307	0.2335533132
308	0.2331116678
309	0.2328179693
310	0.2325921098
311	0.2322104886
312	0.2319706989
313	0.2315454672
314	0.2310461271
315	0.2305923286
316	0.2301692106
317	0.2298520027
318	0.2293893104
319	0.2290901606
320	0.2287831864
321	0.2283557752
322	0.2281043244
323	0.2276351477
324	0.2271219212
325	0.2268267413
326	0.2264841944
327	0.2261552268
328	0.2258754793
329	0.2254573999
330	0.2252604312
331	0.2250689288
332	0.2245902043
333	0.2242431048
334	0.2240286322
335	0.2237463655
336	0.223402529
337	0.2230984084
338	0.2227345914
339	0.2225486358
340	0.2221992743
341	0.2219461907
342	0.2216060886
343	0.221264763
344	0.2209833836
345	0.2205978054
346	0.2203681395
347	0.220123547
348	0.2196217788
349	0.2194059273
350	0.2191415539
351	0.2187909879
352	0.2185164409
353	0.2180496749
354	0.2177423824
355	0.2174773682
356	0.2170920533
357	0.2167794794
358	0.2164552874
359	0.2160388547
