iter	Passed	Remaining
0	5	5804
1	11	5602
2	14	4816
3	19	4908
4	24	4913
5	27	4560
6	32	4540
7	35	4380
8	37	4138
9	39	3942
10	42	3783
11	44	3651
12	47	3570
13	50	3562
14	53	3494
15	55	3419
16	57	3350
17	59	3268
18	61	3189
19	63	3128
20	66	3077
21	68	3030
22	70	2990
23	72	2953
24	75	2934
25	77	2895
26	79	2859
27	81	2840
28	84	2814
29	86	2789
30	88	2766
31	90	2749
32	92	2720
33	94	2696
34	97	2674
35	99	2661
36	101	2645
37	103	2628
38	105	2607
39	107	2590
40	110	2573
41	111	2554
42	114	2540
43	116	2531
44	118	2515
45	120	2503
46	122	2489
47	124	2476
48	126	2463
49	128	2450
50	131	2438
51	133	2427
52	135	2416
53	137	2405
54	139	2402
55	141	2384
56	143	2378
57	145	2369
58	148	2364
59	150	2355
60	152	2344
61	154	2338
62	156	2331
63	158	2321
64	160	2313
65	163	2308
66	165	2298
67	167	2291
68	169	2285
69	171	2276
70	173	2267
71	175	2260
72	177	2252
73	178	2238
74	181	2233
75	183	2232
76	185	2229
77	188	2223
78	190	2217
79	192	2208
80	194	2203
81	196	2198
82	198	2190
83	200	2183
84	202	2178
85	204	2177
86	207	2173
87	209	2167
88	211	2162
89	213	2157
90	215	2153
91	217	2148
92	219	2143
93	222	2143
94	225	2143
95	227	2139
96	229	2136
97	231	2133
98	234	2130
99	237	2136
100	240	2136
101	242	2135
102	244	2133
103	247	2131
104	250	2131
105	253	2135
106	255	2134
107	259	2139
108	262	2143
109	264	2140
110	266	2136
111	269	2137
112	272	2139
113	274	2135
114	277	2132
115	279	2130
116	281	2126
117	284	2124
118	286	2120
119	288	2117
120	290	2112
121	293	2114
122	295	2109
123	297	2104
124	300	2103
125	302	2101
126	304	2095
127	306	2091
128	309	2090
129	311	2087
130	314	2084
131	316	2079
132	318	2075
133	321	2076
134	323	2074
135	326	2071
136	328	2066
137	330	2062
138	332	2058
139	334	2055
140	336	2051
141	338	2047
142	341	2044
143	343	2042
144	345	2038
145	348	2036
146	350	2033
147	352	2029
148	354	2027
149	357	2024
150	360	2026
151	362	2024
152	364	2020
153	367	2017
154	369	2013
155	371	2009
156	374	2011
157	376	2007
158	378	2004
159	381	2001
160	383	1997
161	385	1993
162	387	1990
163	390	1990
164	393	1988
165	395	1988
166	398	1987
167	401	1986
168	403	1985
169	406	1984
170	408	1980
171	410	1976
172	412	1973
173	415	1970
174	417	1967
175	419	1964
176	422	1963
177	424	1960
178	426	1957
179	429	1955
180	431	1952
181	433	1949
182	436	1947
183	439	1947
184	441	1945
185	443	1942
186	446	1939
187	448	1938
188	451	1935
189	453	1931
190	455	1930
191	457	1927
192	460	1924
193	462	1921
194	464	1918
195	467	1915
196	469	1913
197	471	1910
198	473	1907
199	476	1905
200	478	1902
201	480	1899
202	483	1898
203	486	1898
204	490	1900
205	493	1901
206	496	1901
207	498	1899
208	501	1899
209	505	1900
210	508	1901
211	510	1898
212	513	1896
213	515	1893
214	517	1890
215	520	1889
216	523	1889
217	526	1887
218	528	1885
219	531	1883
220	533	1881
221	536	1880
222	539	1879
223	541	1877
224	544	1874
225	546	1872
226	549	1870
227	552	1869
228	555	1870
229	557	1867
230	560	1864
231	562	1862
232	564	1859
233	567	1859
234	570	1857
235	572	1854
236	575	1852
237	577	1848
238	579	1845
239	581	1842
240	584	1841
241	587	1839
242	589	1836
243	591	1833
244	594	1830
245	596	1827
246	598	1825
247	601	1823
248	603	1821
249	606	1818
250	608	1816
251	610	1812
252	613	1810
253	615	1808
254	618	1805
255	620	1802
256	622	1800
257	625	1797
258	627	1794
